mode,test,rep,metric,value
proxy,cps1,2,elapsed_s,5.00915
proxy,cps1,2,sys_cpu_s,10.27
proxy,cps1,2,lb_cpu_s,2.14
proxy,cps1,2,conn_per_s,15507
proxy,cps1,2,errors,0
proxy,cps1,2,p50_us,52
proxy,cps1,2,p99_us,214
proxy,cps64,2,elapsed_s,5.02336
proxy,cps64,2,sys_cpu_s,25.85
proxy,cps64,2,lb_cpu_s,3.88
proxy,cps64,2,conn_per_s,41706
proxy,cps64,2,errors,0
proxy,cps64,2,p50_us,1520
proxy,cps64,2,p99_us,2299
raw,tput1,2,elapsed_s,5.01222
raw,tput1,2,sys_cpu_s,14.19
raw,tput1,2,lb_cpu_s,3.55
raw,tput1,2,gbps,4.008625923068511
raw,tput1,2,retrans,12021
raw,tput4,2,elapsed_s,5.01082
raw,tput4,2,sys_cpu_s,18.46
raw,tput4,2,lb_cpu_s,3.52
raw,tput4,2,gbps,5.67867302149865
raw,tput4,2,retrans,19137
raw,cps1,2,elapsed_s,5.01266
raw,cps1,2,sys_cpu_s,10.14
raw,cps1,2,lb_cpu_s,1.8
raw,cps1,2,conn_per_s,16983
raw,cps1,2,errors,0
raw,cps1,2,p50_us,45
raw,cps1,2,p99_us,205
raw,cps64,2,elapsed_s,5.02578
raw,cps64,2,sys_cpu_s,25.68
raw,cps64,2,lb_cpu_s,3.29
raw,cps64,2,conn_per_s,51606
raw,cps64,2,errors,0
raw,cps64,2,p50_us,1176
raw,cps64,2,p99_us,1930
xdp,tput1,2,elapsed_s,5.01128
xdp,tput1,2,sys_cpu_s,15.35
xdp,tput1,2,lb_cpu_s,0
xdp,tput1,2,xdp_ns_per_pkt,40.624
xdp,tput1,2,xdp_cpu_s,0.242388
xdp,tput1,2,gbps,13.440322743163335
xdp,tput1,2,retrans,746
xdp,tput4,2,elapsed_s,5.01119
xdp,tput4,2,sys_cpu_s,32.28
xdp,tput4,2,lb_cpu_s,0
xdp,tput4,2,xdp_ns_per_pkt,58.3694
xdp,tput4,2,xdp_cpu_s,0.639009
xdp,tput4,2,gbps,24.22096366652579
xdp,tput4,2,retrans,29363
xdp,cps1,2,elapsed_s,5.01204
xdp,cps1,2,sys_cpu_s,10.04
xdp,cps1,2,lb_cpu_s,0
xdp,cps1,2,xdp_ns_per_pkt,246.165
xdp,cps1,2,xdp_cpu_s,0.254618
xdp,cps1,2,conn_per_s,20547
xdp,cps1,2,errors,0
xdp,cps1,2,p50_us,33
xdp,cps1,2,p99_us,168
xdp,cps64,2,elapsed_s,5.03586
xdp,cps64,2,sys_cpu_s,26.75
xdp,cps64,2,lb_cpu_s,0
xdp,cps64,2,xdp_ns_per_pkt,271.102
xdp,cps64,2,xdp_cpu_s,1.00346
xdp,cps64,2,conn_per_s,73728
xdp,cps64,2,errors,0
xdp,cps64,2,p50_us,829
xdp,cps64,2,p99_us,1519
direct,tput1,3,elapsed_s,5.00865
direct,tput1,3,sys_cpu_s,15.66
direct,tput1,3,lb_cpu_s,0
direct,tput1,3,gbps,11.49328125882887
direct,tput1,3,retrans,152
direct,tput4,3,elapsed_s,5.01204
direct,tput4,3,sys_cpu_s,49.98
direct,tput4,3,lb_cpu_s,0
direct,tput4,3,gbps,42.65390131639588
direct,tput4,3,retrans,29898
direct,cps1,3,elapsed_s,5.01404
direct,cps1,3,sys_cpu_s,9.39
direct,cps1,3,lb_cpu_s,0
direct,cps1,3,conn_per_s,23234
direct,cps1,3,errors,0
direct,cps1,3,p50_us,30
direct,cps1,3,p99_us,162
direct,cps64,3,elapsed_s,5.03864
direct,cps64,3,sys_cpu_s,25.53
direct,cps64,3,lb_cpu_s,0
direct,cps64,3,conn_per_s,82995
direct,cps64,3,errors,0
direct,cps64,3,p50_us,720
direct,cps64,3,p99_us,1355
proxy,tput1,3,elapsed_s,5.088
proxy,tput1,3,sys_cpu_s,21.8
proxy,tput1,3,lb_cpu_s,4.1
proxy,tput1,3,gbps,10.736601011980472
proxy,tput1,3,retrans,1
proxy,tput4,3,elapsed_s,5.09158
proxy,tput4,3,sys_cpu_s,27.02
proxy,tput4,3,lb_cpu_s,3.8
